Deeply Under Construction.

row     status      agegrp      cond        duration
----------------------------------------------------
 91907  infectious  age80_up    nil         4       
 91936  infectious  age80_up    mild        7       
 91945  infectious  age80_up    nil         4       
 91950  infectious  age80_up    severe      13      
 91956  infectious  age80_up    nil         2       
 91982  infectious  age80_up    nil         3       
 91991  infectious  age80_up    nil         1       
 91994  infectious  age80_up    severe      18      
 92003  infectious  age80_up    mild        13      
 92010  infectious  age80_up    severe      12      
 92021  infectious  age80_up    mild        10      
 92022  infectious  age80_up    severe      24      
 92038  infectious  age80_up    severe      21      
 92042  infectious  age80_up    severe      19      
 92045  infectious  age80_up    sick        19      
 92053  infectious  age80_up    nil         9       
 92062  infectious  age80_up    mild        9       
 92068  infectious  age80_up    sick        13      
 92079  infectious  age80_up    mild        12      
 92086  infectious  age80_up    severe      24      
row     status      agegrp      sickday_his
-------------------------------------------
     2  recovered   age0_19     63|74      
    43  recovered   age0_19     38|88      
    53  recovered   age0_19     51|66      
    66  recovered   age0_19     39|89      
   118  recovered   age0_19     70|84      
   124  recovered   age0_19     54|91      
   130  recovered   age0_19     65|77      
   178  recovered   age0_19     92|106     
   186  recovered   age0_19     52|64      
   206  recovered   age0_19     67|77      
   225  recovered   age0_19     46|87      
   314  recovered   age0_19     57|90      
   332  recovered   age0_19     64|90      
   346  recovered   age0_19     53|69      
   386  recovered   age0_19     57|76      
   454  recovered   age0_19     70|93      
   495  recovered   age0_19     70|79      
   501  recovered   age0_19     75|115     
   509  recovered   age0_19     51|104     
   522  recovered   age0_19     65|80|98   
   549  recovered   age0_19     54|74      
   581  recovered   age0_19     59|82      
   583  recovered   age0_19     75|85      
   670  recovered   age0_19     49|66      
   686  recovered   age0_19     65|74      
   699  recovered   age0_19     64|83      
   770  recovered   age0_19     52|112     
   812  recovered   age0_19     47|85      
   972  recovered   age0_19     55|72      
   988  recovered   age0_19     47|61      
   992  recovered   age0_19     58|92      
  1004  recovered   age0_19     55|84      
  1075  recovered   age0_19     67|76      
  1117  recovered   age0_19     53|63|78   
  1172  recovered   age0_19     63|76      
  1202  recovered   age0_19     50|95      
  1219  recovered   age0_19     38|64      
  1229  recovered   age0_19     55|69      
  1235  recovered   age0_19     29|86      
  1243  recovered   age0_19     55|65      
  1301  recovered   age0_19     64|73      
  1311  recovered   age0_19     82|99      
  1326  recovered   age0_19     58|79      
  1347  recovered   age0_19     50|68      
  1407  recovered   age0_19     55|72      
  1408  recovered   age0_19     52|68      
  1484  recovered   age0_19     62|72      
  1546  recovered   age0_19     55|64      
  1572  recovered   age0_19     53|68      
  1585  recovered   age0_19     68|92      
  1596  recovered   age0_19     53|98      
  1614  recovered   age0_19     57|72|88   
  1626  recovered   age0_19     54|75      
  1649  recovered   age0_19     74|83      
  1658  recovered   age0_19     64|82      
  1675  recovered   age0_19     63|80      
  1681  recovered   age0_19     55|76|85   
  1686  recovered   age0_19     45|74      
  1704  recovered   age0_19     32|50      
  1737  recovered   age0_19     65|93      
  1741  recovered   age0_19     45|91      
  1760  recovered   age0_19     62|81      
  1793  recovered   age0_19     65|79      
  1802  recovered   age0_19     22|68      
  1814  recovered   age0_19     56|77      
  1816  recovered   age0_19     47|102     
  1897  recovered   age0_19     59|78      
  1956  recovered   age0_19     56|74      
  1961  recovered   age0_19     59|73      
  1982  recovered   age0_19     43|61      
  1990  recovered   age0_19     45|66      
  1991  recovered   age0_19     55|103     
  2013  recovered   age0_19     24|73      
  2065  recovered   age0_19     58|90      
  2080  recovered   age0_19     54|71      
  2090  recovered   age0_19     55|67      
  2126  recovered   age0_19     67|99      
  2149  recovered   age0_19     44|68      
  2154  recovered   age0_19     81|100     
  2204  recovered   age0_19     65|75|95   
  2288  recovered   age0_19     69|85      
  2318  recovered   age0_19     64|114     
  2384  recovered   age0_19     49|71      
  2418  recovered   age0_19     54|66      
  2453  recovered   age0_19     61|98      
  2474  recovered   age0_19     25|60      
  2486  recovered   age0_19     73|82      
  2530  recovered   age0_19     53|78      
  2592  recovered   age0_19     79|93      
  2617  recovered   age0_19     46|77      
  2678  recovered   age0_19     51|88      
  2698  recovered   age0_19     54|68      
  2699  recovered   age0_19     39|75      
  2737  recovered   age0_19     56|74      
  2789  recovered   age0_19     83|95      
  2792  recovered   age0_19     67|76      
  2802  recovered   age0_19     65|81      
  2940  recovered   age0_19     43|64      
  2963  recovered   age0_19     52|67      
  2993  recovered   age0_19     61|80      
  3011  recovered   age0_19     59|71      
  3074  recovered   age0_19     56|73      
  3225  recovered   age0_19     53|67      
  3230  recovered   age0_19     56|70      
  3304  recovered   age0_19     60|75      
  3325  recovered   age0_19     59|75      
  3350  recovered   age0_19     58|68      
  3360  recovered   age0_19     58|73      
  3372  recovered   age0_19     56|69|83   
  3416  recovered   age0_19     48|63      
  3424  recovered   age0_19     74|84      
  3478  recovered   age0_19     81|90      
  3492  recovered   age0_19     54|72      
  3495  recovered   age0_19     45|58|91   
  3517  recovered   age0_19     56|111     
  3553  recovered   age0_19     55|66|78   
  3556  recovered   age0_19     90|118     
  3571  recovered   age0_19     50|67      
  3607  recovered   age0_19     42|66      
  3622  recovered   age0_19     63|72      
  3641  recovered   age0_19     50|76      
  3699  recovered   age0_19     72|92      
  3726  recovered   age0_19     71|85      
  3803  recovered   age0_19     57|67      
  3811  recovered   age0_19     39|70      
  3828  recovered   age0_19     40|73      
  3850  recovered   age0_19     56|69      
  3905  recovered   age0_19     60|74      
  3924  recovered   age0_19     63|97      
  3934  recovered   age0_19     54|70      
  3965  recovered   age0_19     64|91      
  4023  recovered   age0_19     67|89      
  4040  recovered   age0_19     67|84      
  4072  recovered   age0_19     48|63      
  4166  recovered   age0_19     67|84      
  4184  recovered   age0_19     48|70      
  4203  recovered   age0_19     57|66      
